"Process Path","Work Pool","ExSD","Quantity"
"PPMultiWrap","ReadyToPick","2022-11-30 19:15","2"
"PPSingleMedium","PickingPicked","2022-12-01 18:45","4"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 18:45","3"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-11-30 14:30","2"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 19:15","1"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-11-30 23:00","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 19:45","306"
"PPMultiMedium","RebinBuffered","2022-11-30 23:00","45"
"PPNonCon","PickingNotYetPicked","2022-11-30 23:30","5"
"PPMultiMedium","Sorted","2022-11-30 23:30","164"
"PPMultiWrap","ReadyToPickNonPickable","2022-11-30 14:30","1"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 03:30","771"
"PPMultiMedium","ManifestPending","2022-11-30 19:15","279"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 10:45","6"
"PPMultiMedium","PickingPickedInTransit","2022-11-30 23:00","6"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 06:45","1"
"PPMultiWrap","ReadyToPick","2022-12-01 10:45","8"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 19:15","19"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 03:30","6"
"PPMultiWrap","ReadyToPick","2022-12-01 03:30","6"
"PPNonCon","ManifestPending","2022-12-01 02:30","3"
"PPMultiMedium","ReadyToPickUnconstrained","2022-11-30 23:00","8"
"PPMultiMedium","ReadyToPick","2022-11-30 23:00","12"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 18:45","15"
"PPMultiMedium","Sorted","2022-12-01 02:30","69"
"PPMultiMedium","ReadyToPick","2022-12-01 18:45","17"
"PPSingleMedium","PickingPickedInProgress","2022-12-01 02:30","1"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 14:30","4"
"PPMultiMedium","Sorted","2022-12-01 06:45","32"
"PPMultiMedium","ReadyToPick","2022-11-30 14:30","184"
"PPSingleMedium","ManifestPending","2022-11-30 14:30","1513"
"PPNonCon","PickingNotYetPickedNotPrioritized","2022-12-01 10:45","12"
"PPNonCon","PickingNotYetPicked","2022-12-01 06:45","3"
"PPSingleMedium","PickingPickedInTransit","2022-11-30 19:45","3"
"PPSingleMedium","ManifestPending","2022-11-30 18:45","213"
